お、お客様……だ、だめです……いっぱい、責めちゃ……はふ、んっ、うぅぅ……あたし、イヤ、です……うぅぅ……。	客人……不行，不行……要责备他很多……哈哈，嗯，嗯……我不喜欢……嗯……。
くひっ！　ご、ご主人様がいる、のに……こんな、こと……ひゃふっ、んっ、んぅぅ……あたし、最低の、女です……うぅぅ。	呸！啊，明明有主人……这样的事……哎呀，嗯，嗯……我是最差劲的女人……嗯。
くひゅっ、んっ、うぅぅ……！　お客様の、手が……はぁ、はぁ、ひゃふっ！　んぅぅ……いや、ご主人様には、こんなとこ……くひゅっ、んっ、ひゃぅっ！	嗯，嗯，嗯……！客人的手……哈，哈，哎呀！嗯……不，对主人来说，就是这样的地方……嗯，嗯，是啊！
んぅぅ～～～～！　お客様っ！　はふぅっ、んっ、んぅぅっ！　あたしには、恋人、が……ひゃあっ！　いやいやっ、もう、こんなのぉ、んぅんんっ……！	嗯～～～！客人！嗯，嗯，嗯！对我来说，恋人……哎呀！哎呀，真是的，这样啊，嗯……！
はうぅ……んくっ、あぅ……ちょっと、おっぱいか、おまんこか、どっちかに……あっ、うぅぅ……気持ちよく、しようとしないでください……あくっ、んっ、うぅぅ……	嗯……嗯，啊……喂，是乳房，还是小穴，选哪个……啊，呜呜……请不要心情愉快地去做……啊，嗯，嗯……
ひゃっ、んっ、うぅぅ……んく、ご主人様の方が、もっと優しく揉んでくれます……あふっ、んんぅ……このおっぱいは、お客様のじゃありません……はふっ、あっ、うぅぅ……！	啊，嗯，嗯……嗯，主人会更温柔地帮我按摩……啊，嗯……这个乳房不是客人的……哈，啊，呜……！
んぅぅぅ……感じさせようと、しないでください……ひぐっ！　あぅっ、ち、乳首が勃ってるのは、お客様のが、気持ちいいからじゃありません……そんなんじゃ、全然……ひくっ、うぅぅ……！	嗯……为了让对方感受到，请不要做……嘻！啊，呃，呃，乳头勃起不是因为客人的心情好……那样的话，完全……嗯，嗯……！
はぁ、んっ、んんぅぅ！　なんで、声が漏れて……あぅぅっ、おまんこが、濡れちゃ……ひゃっ、あぁぁあっ！　だ、ダメ……おっぱい、おかしくなっちゃう……んぅ～～～～～ッ！！	哈、嗯、嗯！为什么声音会漏出来……啊，漫画被弄湿了……哎呀，啊啊啊！不行，不行……乳房会变得很奇怪……嗯～～～～！
ひゃふっ、あっ、うぅぅ……おっぱいを、そんな……んんぅぅ……か、感じさせようとしても、あ、あたしは、お客様の女にはなりませんからね……！　ひくっ、うぅぅぅ……	哎呀，啊，嗯……乳房，那样的……嗯……即使想让她感受到，啊，我也不会成为客人的女人啊……！嗯，嗯……
ひゃんっ、や、やだ……くっ、うぅ……！　おっぱい、形崩れちゃう……ひぐぅっ、あっ、あぁあっ！　感じたくないです……ひっ、も、もうやめて……ひゃぐぅぅ……！	哎呀，哎呀……呜、呜……！乳房会变形……嗯，啊，啊！不想感受……嗯，也，算了吧……嗯……！
ひゃふぅぅ……っ！　んっ、ううっ！　乳首が勃っちゃて……あぅうっ！　やっ、やだっ！　もういいじゃないですかっ！　おっぱいはもう……はぁ、はぁ……んぅ～～～～～ッ！！	呼呼……嘿！呜、呜！乳头勃起了……啊呜呜！哎呀，讨厌！已经不要紧了！乳房已经……哈、哈……嗯～～～～！
