んしょ、んん……え、えっと、苛められたい、ですか……？　え、えっ……？　どうして、ですか……	嗯，嗯……嗯，那个，想被欺负吗……？诶，诶……？为什么呢……
シゴく度にビクビク震えて……んっ、本当に、見るに堪えない変態ぶりですよ……！　恥ずかしくないんですか、もう……！	每次都会瑟瑟发抖……嗯，真的是看不下去的变态啊……！不害羞吗，已经……！
それじゃ……そろそろイキそうですか？　んん……薄くて汚い精液、このオナホで搾り取ってあげますから……ほらほら、イっちゃって下さい……！	那么……差不多快开始了吗？嗯……又薄又脏的精液，我用这个自纳荷榨取……看，请走开……！
ほらほら……どうですか……？　あたしがたっぷり、オナホでシゴいて苛めてあげますから……そのままでいて下さいね、このマゾ豚……	你看……怎么样……？我会好好地在自慰厅欺负你的……就这样吧，这头猪……
んしょ、んん……！　まだイっちゃダメですよ……！　いくら我慢の利かない早漏でも、少しくらいは抑えられますよね……んしょ……！	恩、恩……！还不行哦……！即使是再怎么无法忍耐的早泄，也能稍微抑制一下吧……嗯……！
シゴかれる度に、んん……！　マゾ豚さんの短小、ビクビク震えてますね……！　そんなに気に入ったんですか、このオナホが……	每次被骂的时候，嗯……！小猪的短小，吓得直哆嗦……！你那么喜欢这个自慰……
家畜にはお似合いですよね……いいですよ、薄くて汚い精液、さっさと出して下さい……！　無様にイクところ、見ててあげますから……！	很适合家畜呢……可以啊，又薄又脏的精液，快拿出来吧……！我会帮你看的。
それに、んん……イク時は、ちゃんとあたしに『ありがとうございます』って感謝するんですよ？　できますよね？	而且，嗯……好的时候，要好好地感谢我“谢谢”哦？可以吧？
んしょ、はぅ……それじゃイって下さい……！　惨めなマゾ豚さんを、このオナホで無様に射精させてあげますから……感謝して下さいね、ほら……！	嗯，嗯……那就请做吧……！我会让惨不忍睹的黑猪在这个大洞里丑陋地射精的……请感谢我吧，看……！
オモチャを使うぐらいなら……んふっ、自分ですればいいじゃないですか……あたしにおちんちん任せて、自分はなにもしないなんて……意味わかりません……	与其用玩具的话……嗯，自己做不就行了吗……交给我吧，我什么都不做……意思不明白……
はふぅ、んぅぅ……こんなので気持ちいいんですか……？　あたし、オモチャで感じる程度のおちんちんに、ずっとご奉仕させられてたんですね……	嗯，嗯……这样舒服吗……？我一直被用玩具来感受的小鸡鸡服务着呢……
んはぁあ……気持ちよさそうにしちゃって……これ、オモチャですよ？　あたしの手で気持ちよさそうにしてたのはなんだったんですか？　もう……気持ちよければなんでもいいんですね……	嗯哈哈啊……感觉很舒服……这是玩具哦？用我的手看起来很舒服的是什么？已经……心情好的话什么都可以呢……
すごいくちゅくちゅ音を立てて……どれだけオモチャに感じてるんですか……！　このままイカないでくださいよ？　イク時は勝手に自分の手で、出してください……はぁ、はぁ……！	发出了很大的声音……你有多喜欢玩具啊……！请不要这样鱿鱼哦？好的时候请随便用自己的手拿出来……哈、哈……！
んんぅぅ……オナホで気持ちよくなれるなら、もうあたしは必要ないですね……いっそのこと、チンポとオナホ、くっつけちゃえばいいんじゃないですか……？	嗯……如果在自慰中心情变好的话，我就不需要了……干脆把小鸡鸡和斧头粘在一起不就好了吗……？
オナホに包んでるだけなのに、ご主人様の顔気持ちよさそう……。ご主人様、よかったですね……今日からこのオナホがご主人様の専属メイドですね……♪	虽然只是包在手淫里，但是主人的脸看起来很舒服……。主人，太好了……从今天开始这个自慰是主人的专属女仆……♪
オナホ越しに伝わるぐらい……すごくギンギンですね……ご主人様にとって、このオナホが理想のマンコなんですね……よかったですね、パートナーが見つかって……♪	甚至可以通过手淫传达……真是银啊……对主人来说，这个手淫是理想的男人啊……太好了，找到合作伙伴了……♪
こんなのでハアハアするようなご主人様に、ご奉仕なんてもったいないですから……ほら、オナホにプロポーズしたらどうですか？　一番運命感じちゃってるんじゃないですか？	这样的话，对像这样爽快的主人，服务太浪费了……你看，向自慰求婚怎么样？你不是最能感受到命运吗？
あたしにこんなこと言わせて……本当にエッチなことしか考えてないんですね。あたし、本当はきつい言葉使うの、胸が痛いんですよ？　変態なご主人様を豚扱いするのとか、特に……	让我说这样的话……真的只考虑色情的事情呢。我真的会说很伤人的话，胸口很痛哦？把变态的主人当做猪来对待，特别是……
もう、いつまでも気持ち悪い性癖に付き合わせないでください……！　イッてください。ご主人様なんて、精液にしか価値がなんですから、ちゃんと射精ぐらいしてください……ほらっ、出して！	请不要让我一直都有恶心的癖好……！请给我。主人这种人，只有精液才有价值，所以请好好地射精吧……瞧，拿出来！
