んちゅぅ……は、恥ずかしいですっ、ご主人様ぁ……ちゅぷぅ、キスも、胸もっ……	嗯……啊，真是不好意思，主人啊……小鸟，亲吻，胸怀……
えへへっ、んちゅぅ、ちゅぱっ……そんなに一度にしちゃいたいんですかぁ、ちゅぅ……欲張りさんですね、ご主人様ぁ……♪	嘿嘿，chu，chupa……那么想一次性做吗，chu……是贪心先生，主人啊……♪
んちゅぅ、おっぱい激しくてぇ、身体熱くなっちゃいます……れろぉ、ちゅぱっ！　アソコも、こんなにぃ、ちゅぷぅっ……！	嗯，胸部太激烈了，身体都热起来了……喂，小鸟！那里也是、这样、chupu……！
アソコ疼いてぇ、ご主人様ぁ、はぅ、んちゅぷぅっ！　乳首も硬くなっちゃってぇ、ちゅぱっ！　イクっ、イっちゃいますぅ、んぅ！	啊啊啊啊啊，主人啊，哈，嗯哼！乳头也变硬了，chyupa！我要走了，恩！
あたしの全身、んちゅぅ、ちゅぱっ……好きな所、愛して下さいね、えへへっ……はぅ、ちゅ、ちゅぷぅ……	我的全身，nchu，chupa……喜欢的地方，请爱我，嘿嘿……嗯，chu，chupu……
はぅ、ちゅぷぅ、ご主人様ぁ、大好きですぅ……♪　んちゅ、もっともっと、キスしたいですっ、んちゅぷぅ！	嗯，小鸟，主人，最喜欢了……♪nchu、想要更加亲吻、nchupu！
イっちゃいますぅ、キスもおっぱいも、アソコもっ……！　ご主人様にされると、あたしぃ、すぐ疼いてぇ、んちゅ！　ちゅ、ちゅぷ！	喂，接吻和胸部，那里也……！被主人这样做的话，我，马上疼，nchu！小鸟、小鸟！
んぷっ、ちゅ……ちゅぅ……ど、同時にされたら、恥ずかしい、です……や、やだ……んっ、んんぅぅ……	哼哼，ちゅ……俊……但是，如果同时被这么做的话，会觉得很害羞的……不、讨厌……嗯，嗯……
んちゅぅ、ちゅ、ちゅりゅ……ご主人様、おまんこ……とろとろになっちゃいそうです……ひくっ！　キスも、気持ちよくて、はむぅ、ちゅ、ちゅぅぅ……！	俊、ちゅ、ちゅりゅ……主人，娘子……快要粘糊了……拉！亲吻，心情也很好，嗯，chu，chuu……！
ご主人様……キス、激しくて……んぷっ、ちゅっ、んんうううっ！　ぷひゅっ、はぁ、はぁ……おまんこも、びしょびしょになっちゃって……あふっ、うぅぅ……！	主人……亲吻，激烈的……哼哼，啾，哼哼哼！哼哼，哈，哈……小穴也湿透了……啊、呜呜……！
んぷぅっ、ちゅぶっ、ぢゅぅううっ！　だ、ダメ、おっぱい気持ちいい！　イクっ！　イッちゃいますっ！　んぷっ、ちゅっ、んんぅううっ！　キスしながら、あ、あたし……ぢゅぶ、んんぅぅう……！	哼哼，chubu，yuuuu！不行，胸部好舒服！喂！马上就要开始了！哼哼，啾，哼哼哼！一边亲吻，啊，我……秀、恩恩……！
ちゅ、ちゅりゅ……キス、おいしいですか……？　んぷっ、んんぅ……色んなところ気持ちよくしてくれるなんて……ちゅぷ、好きです……えへへ……	ちゅ、ちゅりゅ……亲吻，好吃吗……？哼哼，哼……在很多地方都让我心情舒畅……小鸟，喜欢……嘿嘿……
ご、ご主人様……んぷっ、んんぅっ、幸せすぎて、気持ちいいです……！　んぷぅ、ちゅ、くちゅくちゅされて、幸せです……ちゅぷ、んんぅぅ……！	主人……哼哼，哼，太幸福了，好舒服……！哼，啾，被亲嘴，好幸福……小唯、嗯……！
んぶっ、ちゅっ、んんぅぅぅうううっ！　ご主人様っ！　いっ、イキそうです！　んぶぅっ、ぢゅっ、んむぅっ！　大好きなご主人様に、最後までイカされたいです……ひゃあっ、いっ、イクっ！	哼哼，哼哼哼哼哼！主人！啊，看起来很棒！呜呜、呜呜、呜呜！想让最爱的主人一直活到最后……哎呀，哎呀，好可爱！
