れろ、ん……ちゅ、んむ……うぅ、こ、これで、いいでしょう、か……ちゅ、うぅ、できれば、や、やめたい、です……	嗯，嗯……嗯，嗯……嗯，这个，这样可以吗……嗯，嗯，如果可以的话，或者，我想放弃……
ちゅっ、ちちゅっ、んふ、んぅっ！　お客様……はむ、んぅ……おっきくて……くさくて……舐めづらい、です……	中、中、嗯、嗯！客人……嗯，嗯……好大……很臭……很难舔……
んちゅ、ちゅ……ん、んぅ……ちゅぷ、ぷひゅぅ……お客様のが……よだれ、まみれで……ちゅ、んぷ、んぅ……やです……匂いが……こんな……んぅっ……	嗯，中……嗯，嗯……中穗，噗哼……客人的……口水，沾满全身……嗯，嗯，嗯……讨厌……味道……这样的……嗯……
ひゃああっ……お、お客様……んちゅぷっ……じゅるっ……んぅんっ……こんなの……もう、本当に……やですっ、ちゅぷ、じゅるっ……あたしも、なんでこんなにっ……！	哎呀啊……客人……哼哼……熟……嗯……这样的……真是的……是吗，是的，我知道了……我也是，为什么会这样……！
んぷぅっ、んっ、んぅぅ……まだ、続けるの……？　うぅぅ、恋人のご主人様に……れろ、ん、んぅ、申し訳ない、です……ちゅ、んっ、んぷ、うぅ……	嗯，嗯，嗯……还要继续吗……？嗯，对恋人的主人……嗯，嗯，嗯，对不起……嗯，嗯，嗯……
ちゅっ、んっ、んちゅっ、ちゅぅ……ご主人様に、こんな、あたし……はぁ、はぁ、いや、だめ……です……んぷっ、んっ、ちゅぷ……	嗯，嗯，嗯，嗯……这样的，我……哈、哈、不、不行……是……嗯，嗯，嗯，嗯……
んちゅっ、あむ、んっ、んんぅぅっ……んちゅっ、ちゅぷ、これは、お客様に、お願いされてる、だけ……あたしはしたくなんか……んちゅっ、ちゅっ……！	嗯，嗯，嗯，嗯……嗯，chuu，这个只是客人拜托的……我不想做什么……嗯，中……！
はぅ、ちゅぱ……お客様のおちんちん熱くて、ちゅるる……ご主人様のじゃないのに、身体熱くなっちゃう、んちゅぷ……	嗯，小鸟……客人的小精灵很烫，热血沸腾……明明不是主人的，身体却变热了，嗯哼……
あたしのお口、んちゅぷ……お客様の味……覚えちゃいそう、ちゅ、ちゅぱ……こんなにおっきいと、お口の中いっぱいになって、れろぉ、ちゅるる……	我的嘴……客人的味道……好像会记住的，中、中……这么大的话，嘴里会塞满，啊，chuu……
んむぅ、ちゅ……おちんちん、こんなに膨らませて、ちゅぱ……他人のメイドを使って興奮しちゃってるなんて……お客様の意地悪、ちゅ、ちゅぱ……	嗯……小气鬼，膨胀成这样，啾啾……竟然用别人的女仆来兴奋……客人的坏心眼，中，中……
先走り出てる、ちゅ、ちゅぱ……お客様のおちんちんぺろぺろして、んちゅぷ……あたしのおまんこ、熱くなっちゃってる、から……はぅ、ぢゅるる……	刚才跑出来的、中、中……客人的小气鬼压扁了，嗯哼……我的漫画很烫，所以……哈、咕……
お客様、んちゅ、ちゅぷ……おちんちんの匂い濃いから、ちゅぱ……ご主人様じゃないのに、あたしのおまんこ……とろとろなの、垂れちゃいそう、ちゅるる……	客人，嗯，中……因为小鸡鸡的味道很浓，所以很香……明明不是主人，却是我的小穴……粘稠的、快要下垂的、粘稠的……
ちゅ、んちゅぷ……えへへ、お口の中熱くなっちゃってる、んぅ……お客様、もっと……ぺろぺろしちゃうから、はぅ、んちゅぷ……	中、中、中…嘿嘿，嘴里变热了，嗯……客人，请再给我一点…因为会点头哈腰的，所以……
お客様、イっちゃうの、ちゅるる……あたしのお口で、えへへ♪　あたしも、ご主人様じゃない人のおちんちんから、精液……出させたくなっちゃってる、んちゅ……	客人，是吗，chuu……用我的嘴，嘿嘿♪我也是，不是主人的小气鬼，精液……我想让他出来，嗯……
