ん、ちゅ、んん……！　ご主人様……触るか、キスするか……どっちかにしてください……ん、ひゃっ……ん、ちゅ、くぅ……	嗯、ちゅ、ん……！主人……触摸、亲吻……请选一个……哎、哎呀……嗯、ちゅ、くu……
ちゅ、んちゅっ……はぁ、あっ……ご主人様……恥ずかしいです……いっぱい触られて、んちゅ、れちゅ……そんなにキスされたら……	ちゅ、んちゅ……啊，啊……主人……不好意思……被摸了很多，chu、rechu……如果被那样亲吻的话……
ちゅく、んぷっ……はぁ、あっ……キスで息出来なくて、んぷ、ちゅ、んちゅくっ……なんだか、ふわふわしてきちゃって、私っ……	ちゅく、んぷっ……啊，啊……因为接吻而无法呼吸，哼、chu、chuku……总觉得，轻飘飘的，我……
ちゅ、んぢゅ……んぅ！　ご主人様にされるの、嬉しくてっ……はぁ、ちゅ、んちゅるっ……もっと、いっぱいしてくださいっ……ちゅ、ちゅ、れるっ	秀、秀……嗯！我很高兴被主人这样对待……啊、ちゅ、ちゅる……请再多喝一杯……ちゅ、ちゅ、れる
ちゅむ、んっ……ちゅ、ちゅっ……んぅぅ、ご主人様ぁ……もっとです、まだ足りませんっ……ちゅ、ちゅ、キスしたいです……ちゅ、んちゅっ	嗯，嗯……ちゅ、ちゅ……嗯，主人……还有一点，还不够……chu、chu、想接吻……ちゅ、ちゅ
ちゅ、く……んちゅ、ん！　はぁ……ご主人様にこんなにいっぱいしてもらえて……んちゅ、はぁっ……ちゅくっ……私嬉しいです……はぁ……	ちゅ、く……嗯，嗯！哈……让主人喝了这么多……嗯，哈……ちゅく……我很开心……哈……
ちゅ、んちゅ……好きです、ご主人様……はぁっ……ちゅ、んっ！　大好きですよっ……んぅ、ちゅ、はぁ……ご主人様で、私、いっぱいにっ……ちゅ	ちゅ、んちゅ……喜欢，主人……哈……一、哼！最喜欢了……嗯、ちゅ、は……主人，我满满的……朱
ん、ちゅ、んん……！　ご主人様……触るか、キスするか……どっちかにしてください……ん、ひゃっ……ん、ちゅ、くぅ……	嗯、ちゅ、ん……！主人……触摸、亲吻……请选一个……哎、哎呀……嗯、ちゅ、くu……
んちゅ、ちぅ……ん、はぁっ……恥ずかしい、です……ご主人様っ……顔見られて、キスされて……ん、ぅ……はぁ、ちゅ……	ちゅ、ちゅ……嗯、哈……不好意思……主人……被看见脸，被亲吻……嗯，嗯……哈、ちゅ……
ちゅ、んぷっ……はぁ、はぁっ……キスっ……ん、息がっ……ちゅ、んぅ！　はぁ、あぷっ……	ちゅ、んぷっ……哈、哈……亲吻……嗯，喘气……嗯，嗯！哈、呵呵……
ちゅ、んちゅぷ……れ、りゅっ……んぅ！　ご、ご主人様、激しいっ……んぅぅ！　はぁっ、ダメです、わ、私っ……んぅっ、ちゅ、んちゅぅ！	ちゅ、ちゅうぷ……哎、ryu……嗯！主人，太激动了……嗯！啊，不行，我……嗯，chu，chu！
ん、ちゅ、んん……！　ご主人様……触るか、キスするか……どっちかにしてください……ん、ひゃっ……ん、ちゅ、くぅ……	嗯、ちゅ、ん……！主人……触摸、亲吻……请选一个……哎、哎呀……嗯、ちゅ、くu……
ちゅ、んちゅっ……はぁ、あっ……ご主人様……恥ずかしいです……いっぱい触られて、んちゅ、れちゅ……そんなにキスされたら……	ちゅ、んちゅ……啊，啊……主人……不好意思……被摸了很多，chu、rechu……如果被那样亲吻的话……
ちゅく、んぷっ……はぁ、あっ……キスで息出来なくて、んぷ、ちゅ、んちゅくっ……なんだか、ふわふわしてきちゃって、私っ……	ちゅく、んぷっ……啊，啊……因为接吻而无法呼吸，哼、chu、chuku……总觉得，轻飘飘的，我……
ちゅ、んぢゅ……んぅ！　ご主人様にされるの、嬉しくてっ……はぁ、ちゅ、んちゅるっ……もっと、いっぱいしてくださいっ……ちゅ、ちゅ、れるっ	秀、秀……嗯！我很高兴被主人这样对待……啊、ちゅ、ちゅる……请再多喝一杯……ちゅ、ちゅ、れる
